Bez;Gemnr;Gemeinde;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;
IL;70303; Ampass                ;2.406;3.332;3.067;6.032;5.760;4.745;4.196;4.231;4.609;3.777;4.137;3.982;4.141;4.908;4.099;4.679;5.974;7.918;7.072;7.397;4.589;1.746;2.998;4.167;;;;;
IL;70304; Axams                 ;62.415;77.392;83.253;69.263;70.138;71.286;67.872;69.088;73.905;67.978;71.112;68.496;70.691;72.001;73.412;84.362;83.904;83.107;89.788;89.137;65.274;4.252;57.141;87.744;;;;;
IL;70305; Baumkirchen           ;604;337;994;432;581;516;535;635;777;321;234;153;96;63;51;733;771;1.062;1.123;945;705;29;598;1.273;;;;;
IL;70306; Birgitz               ;13.583;13.946;15.224;14.387;14.788;13.191;13.032;12.770;13.583;10.969;11.430;10.190;11.279;8.968;7.612;8.625;7.992;8.097;8.617;8.188;7.901;1.726;5.415;6.938;;;;;
IL;70307; Ellbögen              ;3.426;4.012;5.091;4.721;5.880;4.930;5.073;5.362;6.088;5.532;5.405;5.822;5.461;5.894;5.756;5.297;4.436;4.013;5.091;5.192;4.930;565;3.444;4.388;;;;;
IL;70308; Flaurling             ;938;1.257;1.368;1.063;1.217;983;1.306;1.319;2.684;1.945;1.952;1.087;1.092;907;1.131;1.424;1.572;1.396;1.558;1.141;977;78;576;1.470;;;;;
IL;70309; Fritzens              ;1.159;1.313;1.337;1.217;880;1.488;1.216;1.822;1.315;767;555;477;1.001;611;616;775;742;395;699;735;725;366;350;613;;;;;
IL;70310; Fulpmes               ;188.633;193.054;202.635;223.453;216.096;202.064;198.794;195.014;215.928;206.426;206.550;201.361;217.907;225.062;209.149;212.190;207.354;198.695;197.054;195.550;154.394;1.330;133.627;174.660;;;;;
IL;70311; Gnadenwald            ;3.040;3.074;2.581;3.192;4.395;5.976;9.632;9.849;9.002;10.131;8.455;8.471;8.663;7.819;6.820;7.462;6.048;6.132;6.290;5.344;5.048;1.238;3.662;3.908;;;;;
IL;70312; Götzens               ;28.208;37.591;42.192;43.358;43.398;45.592;40.530;43.106;42.528;42.281;38.118;39.670;42.143;46.268;43.002;38.924;44.769;37.126;40.561;43.147;32.239;4.202;17.472;35.969;;;;;
IL;70313; Gries am Brenner      ;14.301;15.031;13.898;14.730;14.789;15.840;12.780;11.946;13.580;13.828;13.941;12.985;12.028;13.250;12.322;13.137;13.527;15.832;16.279;18.302;14.792;1.184;9.607;16.258;;;;;
