Bez;Gemnr;Gemeinde;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;
KU;70512; Kramsach              ;67.749;69.761;72.059;82.980;85.763;88.280;75.719;61.575;59.657;60.228;58.077;57.606;61.839;61.187;55.095;55.784;59.912;57.099;52.909;57.292;44.080;5.057;31.921;43.558;;;;;
KU;70513; Kufstein              ;64.638;66.305;68.482;68.373;69.592;68.176;62.698;63.844;71.739;60.597;58.463;58.116;62.717;62.130;55.949;52.639;60.002;67.171;74.744;79.102;65.115;18.195;52.668;75.344;;;;;
KU;70514; Kundl                 ;3.792;3.560;5.001;4.851;3.954;4.251;5.401;3.243;3.436;2.464;1.789;1.756;2.376;2.368;2.192;2.876;1.734;3.589;3.192;3.046;3.575;2.679;2.873;2.036;;;;;
KU;70515; Langkampfen           ;8.062;7.638;8.982;10.145;8.792;9.030;13.925;8.188;12.213;6.550;7.790;5.741;7.014;7.407;9.397;5.555;9.035;9.107;8.723;6.394;7.679;2.812;5.818;8.854;;;;;
KU;70516; Mariastein            ;7.701;8.526;10.211;9.770;14.332;10.511;12.945;11.150;11.283;11.184;10.608;8.839;11.112;9.072;8.251;6.796;8.955;8.944;6.644;5.421;5.448;638;4.348;7.210;;;;;
KU;70517; Münster               ;16.797;18.023;15.892;27.814;27.376;20.251;18.127;17.415;24.182;22.550;25.545;22.302;30.389;30.209;24.071;25.951;31.305;20.687;21.411;23.640;17.424;1.216;5.976;9.855;;;;;
KU;70518; Niederndorf           ;10.243;9.263;9.953;9.206;7.630;7.409;8.877;6.122;8.266;8.222;7.320;8.321;9.019;9.690;7.724;6.802;8.309;7.918;6.390;6.119;5.469;1.582;3.459;6.492;;;;;
KU;70519; Niederndorferberg     ;578;526;490;508;768;917;1.124;1.176;1.259;1.035;1.270;991;1.127;1.312;1.894;1.888;1.670;1.511;2.150;2.602;2.037;12;2.013;2.757;;;;;
KU;70520; Radfeld               ;37.210;39.049;38.642;42.080;40.210;45.860;44.050;35.003;35.029;38.440;34.734;32.822;34.833;36.519;33.517;33.688;34.173;28.366;26.988;27.552;25.216;2.835;9.507;19.402;;;;;
KU;70521; Rattenberg            ;496;434;625;1.210;1.333;1.297;844;955;789;1.571;820;860;1.078;995;675;647;683;742;1.226;1.235;1.247;592;900;2.172;;;;;
KU;70522; Reith im Alpbachtal   ;111.410;118.093;121.672;122.606;127.533;117.876;110.995;103.596;100.130;90.713;81.262;85.325;81.758;87.183;78.479;75.095;76.813;75.135;77.270;74.739;66.960;1.487;54.030;71.283;;;;;
KU;70523; Rettenschöss          ;4.125;4.615;4.186;4.042;4.324;4.742;5.068;5.086;4.959;4.730;4.486;3.606;4.676;4.869;5.250;4.778;5.015;5.145;6.140;6.572;5.937;25;4.766;5.525;;;;;
KU;70524; Scheffau/Wild.Kaiser  ;141.364;144.717;142.265;142.187;150.894;161.789;158.969;152.288;164.185;162.486;154.166;155.973;154.605;156.617;146.422;151.105;156.822;138.860;160.879;152.423;135.327;1.575;123.062;133.208;;;;;
KU;70525; Schwoich              ;7.081;7.898;7.861;8.267;8.251;8.731;7.354;6.295;5.764;6.183;6.232;5.071;4.844;5.033;5.692;6.253;6.135;5.576;5.351;5.896;5.580;2.474;6.609;8.558;;;;;
KU;70526; Söll                  ;262.836;264.874;275.549;273.981;277.888;299.566;299.348;292.298;307.530;302.410;299.622;283.221;297.295;307.594;281.786;294.551;307.596;289.532;310.020;308.681;282.886;1.904;228.141;266.828;;;;;
KU;70527; Thiersee              ;80.896;87.291;74.633;78.042;72.879;74.139;75.100;71.149;68.306;76.380;63.448;61.667;65.996;65.621;67.984;73.954;79.772;74.063;80.537;79.938;66.466;7.758;56.767;63.326;;;;;
KU;70528; Angerberg             ;13.128;14.752;15.376;15.793;14.126;16.841;15.508;13.874;14.562;12.071;12.365;11.396;11.582;13.701;12.729;13.616;13.185;13.276;14.100;10.024;12.735;4.943;10.707;16.089;;;;;
KU;70529; Walchsee              ;119.645;125.204;127.309;119.045;126.559;132.950;126.233;115.580;121.652;123.852;119.662;115.540;112.847;116.476;103.210;96.039;109.231;101.913;136.030;133.377;110.123;8.137;74.416;92.545;;;;;
KU;70530; Wildschönau           ;388.331;390.702;420.612;418.021;427.138;439.378;441.473;388.096;405.632;389.310;380.993;371.196;372.450;416.575;389.546;375.344;393.680;378.084;400.416;403.512;359.969;7.164;253.943;360.999;;;;;
KU;70531; Wörgl                 ;40.983;40.000;40.243;41.856;41.289;37.303;40.066;36.756;34.002;38.426;32.623;34.550;33.435;33.341;35.306;33.240;35.586;33.419;37.983;41.458;35.572;9.218;27.269;40.951;;;;;
LA;70601; Faggen                ;2.438;1.830;1.789;2.097;2.168;2.218;2.605;2.121;2.679;2.080;1.853;2.129;2.263;2.313;2.149;2.378;3.186;2.604;3.501;3.470;2.731;78;2.400;3.559;;;;;
LA;70602; Fendels               ;41.056;41.998;41.001;42.051;41.210;47.152;44.892;46.362;48.426;48.602;44.897;40.875;43.722;43.428;44.307;43.518;44.006;44.655;46.807;43.294;36.690;200;28.428;40.552;;;;;
LA;70603; Fiss                  ;393.518;419.601;412.514;440.116;469.698;465.911;459.529;477.932;501.361;547.243;553.966;543.073;572.044;589.185;573.497;596.701;632.848;606.655;624.518;620.668;525.935;351;536.900;595.112;;;;;
LA;70604; Fließ                 ;23.781;33.341;27.241;34.401;33.771;35.648;34.458;31.262;37.889;35.495;33.329;33.448;37.960;38.412;39.364;40.422;39.467;37.828;39.746;39.184;33.528;332;25.789;31.435;;;;;
LA;70605; Flirsch               ;55.855;60.516;76.694;57.417;72.403;71.868;77.494;70.971;74.186;70.100;68.660;63.469;69.425;69.232;64.435;69.490;68.103;71.352;70.064;64.825;51.910;1.624;43.414;52.015;;;;;
LA;70606; Galtür                ;239.816;274.562;297.650;314.207;317.446;313.912;296.349;290.556;327.926;330.338;322.515;321.688;320.298;330.658;317.816;323.932;330.393;333.381;345.693;336.132;265.878;372;267.048;341.296;;;;;
LA;70607; Grins                 ;8.343;8.353;2.189;2.153;2.457;2.557;3.266;2.718;2.866;2.542;2.859;2.599;2.937;3.146;3.420;3.701;3.554;3.826;4.251;4.043;3.917;333;2.961;3.791;;;;;
LA;70608; Ischgl                ;1.043.334;1.139.586;1.125.451;1.155.719;1.222.005;1.201.942;1.221.471;1.208.345;1.297.639;1.298.861;1.291.888;1.322.335;1.336.822;1.314.682;1.299.363;1.345.513;1.357.597;1.376.335;1.402.789;1.409.478;1.037.141;306;1.030.222;1.326.143;;;;;
LA;70609; Kappl                 ;267.964;304.794;334.081;360.764;379.364;359.966;336.334;339.919;391.842;399.190;384.349;376.882;389.663;403.741;386.829;410.278;425.968;406.976;437.967;421.928;342.654;163;303.366;387.067;;;;;
LA;70610; Kaunerberg            ;3.644;5.028;5.436;5.256;5.431;5.783;5.791;5.948;6.880;5.816;6.011;5.799;6.601;6.816;7.064;7.490;8.341;7.348;6.970;6.950;5.752;108;4.209;5.997;;;;;
LA;70611; Kaunertal             ;134.766;147.582;153.938;146.149;154.451;144.556;151.560;149.460;153.623;155.601;143.770;151.929;158.296;162.186;153.353;164.444;170.527;177.050;171.990;159.717;115.887;9.929;112.369;146.275;;;;;
LA;70612; Kauns                 ;5.676;7.182;7.376;7.091;7.815;7.303;6.497;6.349;7.884;8.516;7.587;8.394;8.661;9.408;8.634;8.907;9.755;8.931;10.417;10.679;9.637;179;7.595;9.677;;;;;
LA;70613; Ladis                 ;105.903;116.045;114.836;117.578;125.141;132.411;128.716;133.936;147.858;148.766;167.129;162.600;176.318;189.825;180.678;179.839;197.556;195.223;205.262;214.349;185.029;19;208.536;232.441;;;;;
LA;70614; Landeck               ;46.937;53.226;51.283;52.098;47.861;50.641;50.966;47.266;53.175;52.224;46.232;47.819;50.629;49.218;48.690;47.601;43.218;42.370;41.901;40.100;31.688;5.083;24.463;33.230;;;;;
LA;70615; Nauders               ;268.053;307.956;297.121;283.872;288.254;281.326;260.477;273.060;298.553;317.161;301.559;293.769;309.407;318.729;299.981;317.427;318.525;308.316;321.723;322.625;282.373;771;247.357;296.971;;;;;
LA;70616; Pettneu am Arlberg    ;103.826;107.343;118.325;109.939;134.313;135.414;139.561;144.871;155.298;143.780;150.366;138.737;141.139;145.180;131.649;137.208;148.392;150.592;152.596;147.464;123.611;1.082;119.820;138.427;;;;;
LA;70617; Pfunds                ;103.623;105.009;109.285;115.848;125.302;126.962;129.359;124.274;136.048;141.883;136.523;134.581;129.203;136.735;138.580;141.154;137.147;137.975;134.468;130.207;111.455;482;84.640;113.133;;;;;
LA;70618; Pians                 ;5.170;6.613;7.345;7.400;7.269;7.239;6.567;5.133;7.020;6.755;7.137;6.325;6.535;6.458;6.866;7.923;8.091;7.059;7.053;6.603;5.625;0;4.353;5.848;;;;;
LA;70619; Prutz                 ;29.906;30.323;26.190;34.171;29.402;31.333;27.231;28.401;30.028;28.239;28.629;27.480;28.216;29.335;23.751;24.348;24.921;24.848;29.201;30.209;28.620;459;28.382;34.122;;;;;
LA;70620; Ried im Oberinntal    ;81.957;92.026;93.887;91.013;103.446;104.738;99.346;102.182;121.582;125.386;120.182;112.399;117.095;121.855;110.324;116.925;116.637;107.266;120.257;112.708;97.986;163;87.826;98.839;;;;;
LA;70621; St.Anton am Arlberg   ;859.543;827.618;923.720;927.013;935.877;933.220;926.640;912.216;982.150;936.762;941.032;946.694;983.853;1.016.018;973.249;980.478;1.010.715;1.026.088;1.043.505;1.023.736;803.709;6.156;765.625;903.846;;;;;
LA;70622; Schönwies             ;1.674;2.316;2.463;2.501;2.365;2.129;2.178;1.383;1.407;921;971;1.318;897;898;1.336;1.148;642;907;742;953;1.210;278;1.054;1.434;;;;;
LA;70623; See                   ;108.888;109.315;114.798;122.123;121.155;115.924;115.103;119.494;134.583;131.055;115.986;112.749;117.148;118.514;114.748;123.994;126.865;133.412;147.153;146.120;115.898;55;114.312;149.165;;;;;
LA;70624; Serfaus               ;562.194;616.750;598.465;645.134;648.099;629.860;634.268;661.036;661.625;717.390;715.527;687.691;731.151;753.127;733.586;729.164;761.447;750.427;778.500;779.225;645.505;516;676.539;747.678;;;;;
LA;70625; Spiss                 ;16.908;17.943;17.505;19.454;18.725;16.620;16.125;15.011;14.066;16.101;16.897;17.729;16.716;17.712;17.232;17.817;19.615;19.974;19.288;18.625;14.455;0;13.565;15.335;;;;;
LA;70626; Stanz bei Landeck     ;396;440;563;523;449;423;397;496;254;292;262;214;234;109;174;190;139;171;217;177;128;21;477;1.086;;;;;
LA;70627; Strengen              ;6.645;4.878;4.684;5.605;6.114;5.367;5.498;9.269;9.985;7.924;9.403;6.780;9.145;10.261;10.877;9.708;10.818;12.348;11.256;10.998;9.013;562;5.489;7.256;;;;;
LA;70628; Tobadill              ;4.646;6.166;7.056;7.179;7.899;9.599;10.918;10.554;11.884;10.777;10.679;9.308;12.085;11.566;10.192;10.252;11.600;12.204;11.775;13.301;10.197;192;8.141;9.727;;;;;
LA;70629; Tösens                ;6.140;7.550;7.700;9.933;8.799;8.675;7.887;7.296;8.160;8.445;9.762;9.870;11.319;12.110;11.246;11.237;11.927;8.470;10.016;9.950;9.414;9;8.139;9.489;;;;;
LA;70630; Zams                  ;38.446;39.152;34.402;38.454;38.592;35.220;34.931;30.586;35.507;35.511;33.937;31.955;34.573;39.319;40.762;40.295;39.206;38.400;39.688;37.098;30.151;4.679;18.980;24.499;;;;;
LZ;70701; Abfaltersbach         ;1.321;1.227;1.318;1.351;1.584;1.059;772;863;1.044;1.298;1.168;1.029;1.239;1.233;1.768;1.135;1.133;1.614;1.748;1.017;1.251;116;988;1.238;;;;;
LZ;70702; Ainet                 ;1.074;1.058;4.971;4.920;3.904;1.191;1.114;409;1.886;2.735;3.931;2.142;2.526;2.030;2.659;3.271;1.849;911;683;3.504;3.620;613;3.048;4.332;;;;;
LZ;70703; Amlach                ;10.176;10.247;10.423;10.826;7.658;10.672;9.780;9.286;9.884;10.361;9.767;9.827;9.589;9.742;9.234;9.392;10.713;10.034;11.461;10.339;10.062;218;8.463;10.526;;;;;
LZ;70704; Anras                 ;3.148;3.562;3.499;3.576;3.574;3.534;2.658;3.456;3.301;3.393;3.603;3.235;3.301;3.261;3.468;2.442;3.049;2.378;3.187;3.578;4.105;44;2.822;4.065;;;;;
LZ;70705; Assling               ;2.192;2.558;2.360;2.434;2.973;3.085;2.685;3.059;2.957;3.250;3.250;2.824;2.747;3.251;4.220;3.202;3.676;3.263;3.643;4.274;4.340;618;4.030;4.774;;;;;
LZ;70706; Außervillgraten       ;9.535;9.533;9.730;10.601;10.253;10.082;9.745;9.164;8.024;9.171;8.443;8.616;8.093;9.125;8.913;9.052;8.795;8.350;9.779;9.250;8.680;37;9.167;9.817;;;;;
LZ;70707; Dölsach               ;2.164;1.860;1.643;1.774;1.670;1.697;1.482;1.100;1.706;1.596;1.521;1.367;1.773;1.865;2.261;1.801;2.636;2.534;2.973;3.763;3.705;464;3.089;4.132;;;;;
LZ;70708; Gaimberg              ;19.107;18.209;16.627;19.797;23.705;23.236;20.677;21.923;22.944;23.008;17.551;16.343;16.522;15.962;17.427;18.749;18.412;18.746;20.714;19.415;18.021;1.570;15.289;17.913;;;;;
LZ;70709; Hopfgarten/Defereggen ;10.529;13.922;13.067;11.348;10.519;8.932;9.122;7.549;8.490;8.988;13.172;15.065;16.512;16.838;16.306;15.020;12.290;13.023;11.872;11.483;10.527;99;8.812;9.950;;;;;
LZ;70710; Innervillgraten       ;11.052;14.473;9.727;14.089;14.164;14.330;12.980;15.828;16.709;18.668;17.444;16.936;16.593;18.335;21.977;17.858;18.035;14.228;20.238;19.860;18.906;490;18.387;20.374;;;;;
LZ;70711; Iselsberg-Stronach    ;7.669;6.445;7.346;7.683;8.679;10.804;9.603;11.892;11.259;11.795;9.144;9.496;9.335;7.941;10.194;9.276;9.875;9.576;10.437;12.091;9.299;3.237;12.789;14.516;;;;;
LZ;70712; Kals am Großglockner  ;53.140;57.962;62.410;68.539;59.486;55.760;53.344;52.384;55.935;81.667;92.639;85.832;90.279;113.669;113.561;115.378;131.008;130.640;140.160;135.106;119.874;747;108.788;123.713;;;;;
LZ;70713; Kartitsch             ;34.919;36.320;36.046;38.022;40.039;38.808;31.511;31.194;32.172;32.972;29.339;26.691;26.041;26.853;26.216;27.905;24.539;21.103;24.211;22.202;24.506;2.142;17.809;22.760;;;;;
LZ;70714; Lavant                ;1.845;1.728;1.780;149;3.585;2.896;9.121;14.083;9.382;13.380;8.418;11.233;11.376;8.808;11.375;13.015;12.313;11.889;13.760;14.361;12.061;280;17.178;23.322;;;;;
LZ;70715; Leisach               ;6.576;6.471;5.507;5.797;7.131;7.112;6.959;7.015;7.492;6.429;6.582;6.723;6.965;6.016;5.986;6.807;8.001;6.110;6.128;7.285;5.924;1.737;7.252;8.096;;;;;
LZ;70716; Lienz                 ;53.592;54.741;51.481;54.702;62.759;61.484;59.153;59.266;57.864;62.848;61.663;62.549;63.775;56.952;65.431;63.099;59.325;57.596;62.032;59.237;54.140;10.852;47.113;56.402;;;;;
LZ;70717; Matrei in Osttirol    ;101.386;112.677;112.948;119.155;111.126;129.765;123.082;119.278;126.096;153.826;141.859;131.790;133.370;127.311;130.488;130.306;126.791;120.562;130.769;126.683;112.411;2.982;84.397;112.212;;;;;
LZ;70718; Nikolsdorf            ;2.763;2.332;2.945;2.567;2.724;2.475;2.315;2.349;2.430;2.572;2.557;2.508;2.312;2.469;2.162;2.069;1.871;1.588;1.793;1.456;1.108;34;1.433;1.868;;;;;
LZ;70719; Nußdorf-Debant        ;2.285;3.071;2.394;2.688;3.318;3.223;3.397;3.395;3.399;3.455;4.759;5.519;5.257;4.384;3.474;3.890;3.782;3.554;2.908;2.865;2.976;893;4.891;3.965;;;;;
LZ;70720; Oberlienz             ;1.379;1.455;1.347;1.065;971;1.301;1.709;1.189;1.330;1.928;1.540;1.128;1.239;1.263;1.186;1.406;1.906;1.221;1.460;1.442;2.106;176;1.099;1.390;;;;;
LZ;70721; Obertilliach          ;47.202;56.091;47.120;55.114;71.988;65.153;59.328;60.019;56.992;61.659;62.999;63.127;59.119;68.137;68.063;71.099;74.965;69.540;77.680;82.123;79.341;24.990;76.037;85.406;;;;;
LZ;70723; Prägraten             ;29.466;26.369;24.886;34.420;37.253;30.642;24.682;20.440;19.176;22.797;24.347;24.141;22.800;20.865;19.949;17.649;15.503;16.870;17.359;19.251;16.077;57;17.941;20.736;;;;;
LZ;70724; St.Jakob/Defereggen   ;168.443;192.549;169.084;187.592;188.138;170.152;155.862;152.168;153.685;162.135;150.643;141.985;139.050;147.022;147.043;151.124;145.398;142.752;149.111;145.738;127.333;2.816;114.126;147.771;;;;;
LZ;70725; St.Johann am Walde    ;337;105;190;439;273;38;93;128;156;0;16;60;10;0;0;2;0;0;39;10;114;0;86;370;;;;;
LZ;70726; St.Veit in Defereggen ;28.820;33.225;31.498;33.185;31.084;28.773;28.416;29.198;28.203;27.491;25.803;23.503;23.051;23.855;22.561;24.202;22.933;21.148;23.788;23.089;20.672;2;19.028;22.218;;;;;
LZ;70727; Schlaiten             ;1.121;931;906;829;623;1.131;1.050;1.359;1.515;1.406;1.506;1.401;1.538;1.443;1.799;1.427;1.354;1.614;1.586;1.737;1.194;6;793;1.317;;;;;
LZ;70728; Sillian               ;53.010;67.951;73.737;70.203;81.888;78.103;89.251;84.785;90.110;92.206;85.800;84.923;86.091;80.827;85.265;87.479;80.432;76.391;84.832;81.732;76.340;2.566;52.416;80.514;;;;;
LZ;70729; Strassen              ;5.136;5.427;5.201;5.591;5.805;4.768;5.903;7.532;5.527;5.951;7.200;6.463;8.179;8.458;9.539;9.326;9.797;8.553;8.964;8.060;7.875;441;7.436;8.257;;;;;
LZ;70731; Thurn                 ;22.923;24.223;24.698;26.055;24.182;23.242;23.204;20.889;21.021;22.765;22.659;19.490;18.864;16.262;15.297;16.408;15.773;13.206;14.956;15.116;13.111;8;11.973;12.881;;;;;
LZ;70732; Tristach              ;4.058;7.023;7.078;7.966;8.722;9.712;9.982;8.746;8.872;8.699;8.665;7.789;8.076;7.819;7.566;7.219;7.358;6.322;7.772;7.162;8.004;1.406;5.632;8.890;;;;;
LZ;70733; Untertilliach         ;4.263;5.920;3.766;4.164;4.478;3.724;2.420;2.884;2.519;1.816;1.795;1.707;1.781;2.949;1.977;2.452;2.233;1.460;1.597;1.769;1.939;684;1.373;2.163;;;;;
LZ;70734; Virgen                ;13.774;18.123;16.857;22.525;22.662;20.846;17.187;15.088;19.741;24.806;22.297;19.806;19.412;22.093;21.124;19.813;18.319;16.646;19.152;19.154;19.679;71;12.932;19.765;;;;;
LZ;70735; Heinfels              ;28.735;33.832;32.382;30.049;30.263;31.519;26.698;24.495;23.725;21.573;20.402;20.309;20.272;17.731;20.271;22.511;22.997;23.692;23.436;24.691;22.272;2.754;17.358;20.571;;;;;
RE;70801; Bach                  ;49.327;48.866;50.141;44.765;48.173;46.425;41.819;44.233;51.777;51.270;47.650;46.351;44.060;45.200;46.945;45.811;47.651;44.339;46.533;49.146;37.021;265;40.199;44.253;;;;;
RE;70802; Berwang               ;144.643;150.245;153.881;141.115;145.500;152.965;144.949;132.840;153.093;146.727;145.530;148.490;144.071;147.529;126.406;121.662;132.051;118.675;135.840;140.121;124.152;504;113.278;128.496;;;;;
RE;70803; Biberwier             ;37.608;36.506;34.609;35.390;37.680;42.449;39.973;37.241;57.995;58.691;57.393;55.480;55.781;54.272;64.160;68.160;73.030;65.659;72.606;76.840;65.681;244;55.792;80.572;;;;;
RE;70804; Bichlbach             ;45.975;40.559;42.325;42.308;40.629;42.060;39.487;34.293;36.410;34.484;35.208;34.919;36.540;39.886;40.434;40.394;43.797;41.808;43.866;46.388;39.870;1.398;42.942;51.327;;;;;
RE;70805; Breitenwang           ;12.916;11.429;12.526;9.433;12.494;12.286;14.300;14.102;13.378;14.142;12.695;11.216;14.324;14.946;14.657;16.237;16.958;16.516;17.460;17.872;13.017;3.168;12.350;18.155;;;;;
RE;70806; Ehenbichl             ;9.011;8.668;9.594;9.416;11.969;11.177;9.758;9.812;7.292;7.123;6.446;5.973;7.771;9.172;8.415;8.403;9.249;9.669;10.966;10.827;9.373;831;9.564;12.193;;;;;
RE;70807; Ehrwald               ;212.892;223.814;217.454;205.309;202.409;227.563;217.833;203.731;223.037;237.865;221.534;216.739;219.773;234.115;218.849;220.246;236.717;221.540;234.984;239.680;228.623;1.410;233.552;263.669;;;;;
RE;70808; Elbigenalp            ;43.821;42.435;49.508;47.831;47.117;48.823;44.041;40.106;53.376;52.079;50.068;52.356;47.861;47.415;54.043;52.401;52.565;48.314;50.083;50.227;41.448;177;38.801;44.781;;;;;
RE;70809; Elmen                 ;4.823;6.571;5.824;5.235;6.643;7.325;6.159;5.353;7.776;6.792;5.534;5.976;4.624;4.419;4.132;3.534;4.676;4.171;4.683;5.174;4.034;148;4.950;5.095;;;;;
RE;70810; Forchach              ;694;412;542;462;585;545;383;560;766;445;248;750;843;1.322;706;1.252;1.247;1.410;959;1.546;1.444;240;817;1.859;;;;;
RE;70811; Grän                  ;149.684;152.868;152.723;157.338;169.764;175.507;167.702;160.460;172.504;175.903;184.164;179.770;184.939;193.616;187.204;185.845;192.716;185.183;197.993;194.229;152.964;571;161.024;181.780;;;;;
RE;70812; Gramais               ;2.937;2.482;3.015;2.119;3.697;3.415;3.363;1.256;2.307;3.683;2.089;3.378;3.630;3.537;3.243;3.207;1.991;3.632;3.271;5.235;3.465;0;3.609;4.289;;;;;
RE;70813; Häselgehr             ;9.453;5.384;8.949;6.761;7.083;7.294;6.589;6.680;8.266;6.778;6.230;7.124;5.964;6.427;5.927;8.185;9.169;6.451;4.596;4.223;3.965;179;3.824;4.598;;;;;
RE;70814; Heiterwang            ;19.023;17.813;17.502;16.179;14.518;15.767;15.216;13.782;15.856;14.331;13.132;14.778;14.480;14.030;13.088;14.246;16.537;17.905;17.318;17.796;16.262;116;14.063;18.347;;;;;
RE;70815; Hinterhornbach        ;471;1.150;830;1.819;1.350;1.004;1.282;1.081;1.726;1.728;1.127;1.302;1.129;1.347;1.255;1.648;1.890;1.982;2.237;3.080;2.938;0;2.670;3.843;;;;;
RE;70816; Höfen                 ;22.172;22.123;20.550;22.894;22.376;23.543;24.826;23.685;23.035;22.638;21.351;20.010;23.027;26.068;25.867;22.983;22.147;23.985;25.700;25.926;22.103;2.062;16.129;19.303;;;;;
RE;70817; Holzgau               ;47.888;53.297;50.598;57.788;56.603;48.623;52.550;50.173;60.014;63.550;58.859;63.616;56.861;62.508;60.034;64.470;77.039;62.226;69.066;68.300;53.399;36;57.704;67.698;;;;;
RE;70818; Jungholz              ;49.031;48.587;48.406;49.445;45.808;50.053;37.622;30.872;35.016;34.697;33.004;31.642;32.084;32.524;30.235;31.616;34.082;31.153;36.210;35.554;34.252;402;30.518;29.686;;;;;
RE;70819; Kaisers               ;2.050;2.108;2.489;2.496;2.143;1.907;1.998;2.061;1.724;1.433;876;1.661;1.129;2.459;2.385;1.748;2.541;4.393;3.827;4.050;2.987;7;3.422;4.520;;;;;
RE;70820; Lechaschau            ;10.078;10.244;10.479;10.003;10.453;11.491;10.937;11.608;11.832;10.516;10.050;11.946;11.536;12.095;11.671;11.954;12.420;13.387;13.491;13.278;15.112;1.627;11.184;16.911;;;;;
RE;70821; Lermoos               ;250.292;252.239;258.118;241.079;255.998;282.116;267.577;250.243;287.859;278.851;285.708;273.438;276.116;293.381;279.539;287.967;313.034;286.610;306.984;312.150;247.035;1.702;248.609;271.252;;;;;
RE;70822; Musau                 ;34;22;113;320;230;251;227;360;558;621;637;381;495;891;428;628;1.531;1.224;1.224;1.659;1.329;793;1.307;1.193;;;;;
RE;70823; Namlos                ;2.059;2.122;2.553;2.465;2.673;2.853;2.778;2.260;2.928;2.615;2.191;1.938;2.077;2.824;2.671;2.787;2.637;2.708;3.002;2.845;2.553;0;2.136;2.263;;;;;
RE;70824; Nesselwängle          ;49.812;49.994;51.577;50.377;48.277;46.560;52.842;44.536;45.853;47.794;45.197;44.242;43.887;40.195;42.252;41.778;43.120;44.716;50.980;51.551;55.972;238;55.499;60.167;;;;;
RE;70825; Pfafflar              ;3.518;2.686;2.862;3.679;3.468;3.905;3.911;3.239;3.817;3.448;3.995;4.005;1.943;3.667;2.580;3.103;3.135;4.001;5.210;5.581;5.077;0;4.190;6.971;;;;;
RE;70826; Pflach                ;3.317;3.276;2.691;2.658;2.625;2.220;2.725;2.484;2.686;2.991;2.839;2.697;3.029;3.044;3.557;3.178;3.614;3.170;3.183;3.586;3.063;585;2.730;4.074;;;;;
RE;70827; Pinswang              ;3.273;4.117;3.318;3.192;3.336;3.600;5.000;5.043;5.210;5.876;6.191;4.906;6.205;6.134;6.248;4.266;4.753;3.542;4.011;3.244;3.603;1.220;2.848;4.736;;;;;
RE;70828; Reutte                ;40.223;39.717;39.164;39.725;40.881;41.524;42.987;37.659;38.532;16.453;30.250;36.904;37.881;37.734;35.608;39.878;36.642;41.156;44.005;39.430;31.728;1.234;25.223;43.243;;;;;
RE;70829; Schattwald            ;29.085;29.786;26.345;24.777;27.282;29.043;27.000;21.213;26.362;25.453;25.604;23.426;23.071;21.878;20.905;19.338;19.434;22.242;29.871;28.502;24.402;39;23.211;26.179;;;;;
RE;70830; Stanzach              ;19.093;20.467;18.500;15.431;24.318;21.151;16.376;19.189;18.051;20.759;16.725;13.391;11.256;15.194;13.887;14.011;13.576;14.708;14.910;16.336;17.694;152;10.150;14.623;;;;;
RE;70831; Steeg                 ;51.118;51.147;50.225;50.194;51.594;45.296;45.849;41.941;42.480;43.412;45.351;41.627;40.923;43.418;52.340;57.614;56.432;54.260;57.806;64.641;55.955;494;61.889;67.992;;;;;
RE;70832; Tannheim              ;176.808;179.864;169.808;165.145;173.313;180.375;173.521;152.633;173.112;175.602;166.765;165.007;173.127;172.118;161.112;159.774;161.085;156.287;164.155;166.312;137.646;1.324;119.915;132.380;;;;;
RE;70833; Vils                  ;3.797;4.755;5.097;3.755;3.191;5.478;5.298;5.864;3.144;2.946;2.483;3.742;3.706;2.468;1.565;1.496;1.133;1.583;2.304;2.497;2.354;427;1.903;2.059;;;;;
RE;70834; Vorderhornbach        ;5.791;5.283;5.153;4.904;4.794;5.869;4.701;4.931;5.833;4.473;4.009;2.663;2.501;2.778;2.540;2.260;2.275;1.984;2.725;3.553;2.041;0;1.892;2.268;;;;;
RE;70835; Wängle                ;23.861;25.850;22.107;18.908;21.137;24.862;24.701;23.675;21.433;19.252;16.011;18.594;18.961;22.364;20.993;15.956;18.324;18.388;21.529;21.052;18.867;453;13.065;12.101;;;;;
RE;70836; Weißenbach am Lech    ;15.153;16.529;13.806;13.290;12.544;13.162;14.726;13.295;12.398;11.134;10.901;11.005;11.696;12.256;9.621;9.251;10.373;10.426;9.322;9.482;11.691;2.030;9.076;11.450;;;;;
RE;70837; Zöblen                ;19.070;19.922;19.181;16.649;20.885;21.345;19.538;14.338;16.890;18.224;17.818;15.635;16.536;16.203;14.611;13.901;14.400;17.598;20.513;21.383;17.719;33;13.490;17.975;;;;;
SZ;70901; Achenkirch            ;168.423;169.706;163.243;161.205;168.659;178.612;183.383;169.399;180.539;174.893;172.942;177.123;173.368;182.993;174.400;169.583;179.414;178.246;194.195;195.442;163.515;2.743;145.799;176.985;;;;;
SZ;70902; Aschau im Zillertal   ;103.073;117.432;119.155;132.838;132.168;139.282;148.238;148.482;158.515;157.285;165.266;172.522;179.609;181.918;184.720;181.077;194.356;188.352;197.148;198.046;157.844;1.757;149.860;184.883;;;;;
